collected_funds,campaign_quality,goal,images,video,comments_count,updates_count,creators,business_venture,social,pitch_size,filler_words,duration,reach30in2,posemo,negemo,time
7695,3,15000,0,0,25,1,1,0,1,1194,0,4.79579054559674,FALSE,6.7,0.25,810
24112,9,23000,5,1,41,17,3,0,0,680,0,3.49650756146648,FALSE,5.44,0.15,1349
1907,9,7000,6,1,29,15,2,1,0,1028,0,4.77912349311153,FALSE,5.25,0.78,750
5000,5,5000,2,0,11,2,1,0,0,416,0,4.0943445622221,FALSE,4.09,0,862
4010,9,8000,4,1,24,1,2,1,0,580,0,3.78418963391826,TRUE,3.45,0,1159
1320,9,5000,3,1,6,4,2,1,0,373,0,3.40119738166216,FALSE,2.95,0,1100
680,6,15000,5,0,3,7,4,0,1,602,0,4.24849524204936,FALSE,3.65,0.66,1153
550,8,5500,5,1,1,8,1,1,0,395,0,3.95124371858143,FALSE,5.32,1.52,707
1055,6,3000,0,1,2,0,1,1,0,586,0,3.2188758248682,FALSE,5.12,1.02,1351
756,7,2000,1,1,18,0,2,1,0,454,0,3.71357206670431,FALSE,3.08,0.88,897
2000,9,3800,18,1,10,1,1,1,0,265,0,3.40119738166216,TRUE,1.51,0,1206
1400,0,1500,0,0,20,0,1,1,0,129,0,3.13549421592915,FALSE,8.53,0,1234
1140,0,10000,0,0,4,0,2,0,1,342,0.29,3.80666248977032,FALSE,2.63,2.34,1087
1080,6,2000,0,1,12,3,1,0,0,579,0,3.43398720448515,TRUE,5.01,1.04,956
911,8,2500,2,1,11,7,3,1,0,554,0,4.15888308335967,TRUE,3.97,2.35,1012
5640,9,5000,3,1,36,0,7,1,0,382,0,4.27666611901606,FALSE,6.02,0.79,627
17287,7,20000,1,1,450,9,3,1,0,739,0,4.07753744390572,FALSE,6.5,1.35,893
550,5,10000,0,1,4,0,1,0,1,621,0,4.78749174278205,FALSE,2.74,0.16,936
1140,9,4500,3,1,16,4,1,0,0,371,0,3.40119738166216,FALSE,3.77,0.54,1208
4000,3,4000,0,0,19,0,1,1,0,410,0,3.63758615972639,FALSE,8.54,0.98,1051
15690,9,15000,4,1,35,10,4,1,0,273,0,4.78749174278205,FALSE,5.49,0.73,522
9900,0,10000,0,0,49,0,1,0,1,684,0,3.80666248977032,FALSE,2.78,1.02,976
1300,7,4000,1,1,14,7,2,1,0,430,0,3.29583686600433,FALSE,3.02,0.7,1239
645,3,3000,0,0,9,0,1,1,0,421,0,4.0943445622221,FALSE,3.09,0.24,1058
6425,2,4000,0,0,25,5,3,0,1,757,0,3.8286413964891,TRUE,3.7,0.92,1124
1554,3,1500,0,0,11,0,1,0,1,338,0,3.40119738166216,FALSE,7.69,0.3,1154
8678,9,23000,5,1,111,8,2,1,0,896,0,3.80666248977032,FALSE,2.9,2.12,1107
1698,3,1000,0,0,0,0,2,0,1,374,0,3.58351893845611,FALSE,7.49,0.27,1362
740,6,2000,3,0,15,3,1,0,1,1305,0,3.61091791264422,TRUE,4.21,0.61,894
4643,6,22000,0,1,6,3,1,1,0,673,0,4.11087386417331,FALSE,3.71,0.3,1347
1125,2,5000,0,0,2,0,1,1,0,390,0,3.17805383034795,FALSE,3.08,0.51,1028
1000,9,3000,5,1,8,10,2,1,0,849,0,4.24849524204936,FALSE,2.59,1.53,932
9312,6,9000,9,0,3,1,2,1,0,1590,0,3.40119738166216,FALSE,2.64,0.13,1313
2500,7,2500,1,1,18,2,1,1,0,433,0,4.15888308335967,FALSE,3,1.39,989
4280,9,15000,11,1,28,10,1,1,0,928,0,3.55534806148941,FALSE,3.99,0.22,1212
620,4,5000,2,0,8,3,2,0,1,690,0,4.87519732320115,FALSE,3.04,0.87,1147
715,4,2000,3,0,6,8,1,0,1,154,0,4.78749174278205,FALSE,3.9,0,1255
1430,6,22711,3,1,10,0,1,0,1,744,0,4.39444915467244,FALSE,3.09,1.48,1092
2625,7,5000,1,1,2,0,1,1,0,576,0,3.43398720448515,FALSE,5.9,1.04,1310
1475,3,5000,14,0,12,8,1,0,1,367,0,3.91202300542815,FALSE,2.45,1.63,1171
1500,5,1500,0,1,1,0,1,0,1,422,0,3.63758615972639,FALSE,4.98,0.24,1299
776,9,2500,3,1,34,0,1,1,0,338,0,3.66356164612965,FALSE,6.51,0.59,1014
1020,4,1000,1,0,6,0,1,1,0,494,0,3.8286413964891,FALSE,3.64,0.61,430
1585,3,2500,0,0,17,5,1,1,0,562,0,4.39444915467244,TRUE,4.63,0.71,832
1705,6,5000,4,0,7,0,3,0,1,637,0,4.0943445622221,FALSE,4.4,0.47,992
9760,6,5000,0,1,1,0,1,1,0,618,0,4.21950770517611,FALSE,5.18,1.62,710
9000,3,9000,0,0,17,0,1,1,0,359,0,3.17805383034795,FALSE,2.51,1.67,1233
1195,0,5000,0,0,2,0,1,0,1,170,0,4.77068462446567,FALSE,2.94,1.18,1092
1844,8,6000,2,1,17,3,1,1,0,591,0,3.36729582998647,FALSE,3.72,0,1163
835,1,4000,1,0,0,0,1,0,0,440,0,4.0943445622221,FALSE,2.27,0,1309
1680,9,12000,14,1,14,13,2,1,0,120,0,3.93182563272433,FALSE,3.33,0,962
7090,2,5000,2,0,79,6,2,0,1,126,0,2.89037175789616,TRUE,3.17,2.38,1154
3462,6,10000,0,1,22,0,4,1,0,648,0,3.43398720448515,FALSE,4.01,0.62,1064
1371,9,15000,9,1,10,5,2,1,0,458,0,4.62497281328427,FALSE,3.49,0.87,728
1650,8,1500,2,1,15,3,3,1,0,237,0,4.00733318523247,FALSE,3.38,0.84,957
655,0,5000,0,0,3,0,1,0,0,316,0,4.27666611901606,FALSE,3.16,0.63,671
2420,6,5000,22,0,3,0,1,0,1,574,0,3.04452243772342,TRUE,5.23,0.52,1316
550,0,5500,0,0,0,0,1,0,1,107,0,4.0943445622221,FALSE,5.61,0,1327
830,7,5000,2,1,1,5,1,0,1,466,0,3.55534806148941,FALSE,4.08,0.86,861
4033,6,4000,0,1,29,0,10,1,0,193,0,3.09104245335832,TRUE,5.18,0.52,1167
1345,9,9580,4,1,15,2,1,1,0,884,0,4.0943445622221,FALSE,4.19,0,973
1001,3,1000,0,0,30,5,1,1,0,480,0,3.25809653802148,FALSE,4.38,0.83,948
1581,3,1500,0,0,19,0,1,1,0,405,0,4.49980967033027,FALSE,4.94,0.49,998
575,9,6000,4,1,3,0,2,1,0,570,0,4.35670882668959,FALSE,4.21,0.88,1291
2358,7,5500,1,1,0,4,1,1,0,387,0,4.66343909411207,FALSE,3.1,1.55,473
8250,8,8000,2,1,33,3,3,0,1,1016,0,3.80666248977032,FALSE,5.61,0,1194
1100,0,2000,0,0,8,0,1,0,1,278,0,4.58496747867057,FALSE,4.68,1.08,1184
2678,2,2621,0,0,17,5,2,0,1,235,0,4.78749174278205,TRUE,2.98,1.28,944
790,3,1000,0,0,3,0,3,1,0,342,0,3.93182563272433,FALSE,5.26,0.29,1025
740,8,6000,2,1,15,0,3,1,0,741,0,4.39444915467244,FALSE,3.1,1.48,809
1050,6,4000,0,1,7,0,1,0,0,207,0,3.80666248977032,FALSE,3.86,0.97,1012
1050,9,15000,9,1,7,12,1,1,0,266,0,4.00733318523247,FALSE,4.51,0.38,922
550,7,1350,5,1,2,1,1,0,1,338,0,3.2188758248682,FALSE,1.48,0,728
1040,6,3000,0,1,1,0,1,1,0,369,0,3.3322045101752,FALSE,4.07,1.9,1294
890,3,4000,0,1,6,0,1,1,0,380,0,4.0943445622221,FALSE,4.47,1.58,648
4390,9,3000,8,1,16,0,2,1,0,843,0,0.693147180559945,TRUE,4.74,0.71,566
1323,3,1000,0,1,10,0,2,1,0,381,0,3.63758615972639,FALSE,5.51,1.05,1197
1235,4,6000,1,0,17,3,3,1,0,1085,0,3.40119738166216,FALSE,3.41,0.55,1066
1550,2,3050,0,0,17,0,1,0,1,254,0,2.30258509299405,FALSE,3.54,0,976
3500,9,3447,25,1,11,7,1,1,0,600,0,3.85014760171006,FALSE,3.5,0.17,1320
1245,9,3200,4,1,2,0,2,1,0,593,0,4.0943445622221,FALSE,2.7,1.85,1348
575,6,2500,4,1,3,4,3,0,1,568,0,4.07753744390572,FALSE,4.75,0.53,636
1305,6,3200,4,0,26,3,12,1,0,1086,0,3.66356164612965,FALSE,2.3,0.64,1153
3538,6,3000,0,1,1,2,1,0,0,586,0,2.77258872223978,FALSE,5.12,0,505
3398,6,10750,6,0,17,11,1,1,0,779,0,3.91202300542815,FALSE,5.52,0.26,1260
635,7,2000,1,1,15,5,2,0,0,535,0,4.12713438504509,TRUE,4.3,0.93,971
3310,9,4000,5,1,11,5,4,0,0,1013,0,3.80666248977032,FALSE,2.86,1.09,1267
5494,7,5000,1,1,20,1,1,1,0,634,0,3.52636052461616,FALSE,7.1,1.1,1321
1350,3,2500,0,0,14,0,1,0,1,436,0,4.36944785246702,FALSE,3.21,0.23,969
4057,9,17000,17,1,0,12,2,1,0,476,0,3.80666248977032,FALSE,4.2,2.73,1338
6825,0,12000,0,0,7,6,1,0,1,252,0,3.80666248977032,TRUE,6.75,2.38,1326
1270,9,20000,18,1,4,3,2,1,0,1124,0.09,3.40119738166216,FALSE,3.02,0.44,1195
